name,id,lon,lat
НОВГОРОД-СІВЕРСЬКИЙ,268,33.2550714,51.9931874
НОВОМИРГОРОД,269,31.6779346,48.7948782
НОВОМОСКОВСЬК-ДНІПРОВСЬКИЙ,270,35.2322052,48.6424704
НОВООЛЕКСІЇВКА,271,34.6461095,46.2256593
НОВОПОЛОЦК,272,28.5658146,55.5043974
НОВОУКРАЇНКА,273,31.516143,48.3325669
НОВОЯРОСЛАВСКАЯ,274,39.7929074,57.5756674
ОБВІДНА,275,34.9628264,48.4392577
ОВРУЧ,276,28.8179975,51.3248029
ОДЕСА-ЗАХІДНА,277,30.653464,46.4387122
ОДЕСА-ПЕРЕСИП,278,30.7261687,46.5244926
ОДЕСА-ПОРТ,279,30.7484149,46.4857247
ОДЕСА-СОРТУВАЛЬНА,280,30.7546931,46.554266
ОДЕСА-ТОВАРНА,281,30.7140459,46.4555751
ОЗЕРЯНИ,282,26.0353308,50.4576061
ОЛЕКСАНДРІВКА,283,31.6251351,48.5380095
ОЛЕКСАНДРІЯ,284,33.1329252,48.6739893
ОМСК-ВОСТОЧНЫЙ,285,73.4417095,54.9467318
ОРЛІВЩИНА,286,35.4030324,48.6169356
ОРЛОВКА,287,44.5758788,48.8544144
ОСНОВА,288,36.2367654,49.9371639
ОХТИРКА,289,34.9165496,50.317454
ОЧЕРЕТИНЕ,290,37.6118207,48.2413722
ПІВДЕННОДОНБАСЬКА,291,37.5093438,47.7517453
ПІДГОРОДНА,292,30.8933052,48.109363
ПІДЗАМЧЕ,293,24.0339587,49.8511313
ПАНЮТИНЕ,294,36.2811466,48.9404319
ПАТРИАРШАЯ,295,39.0616731,52.6542246
ПЕНИЗЕВИЧІ,296,29.3696613,50.7366371
ПЕРВОМАЙСЬК-НА-БУЗІ,297,30.8508811,48.0411294
ПЕРЕДАТНА,298,35.2236592,47.818578
ПЕРЕЧИН,299,22.4785884,48.7328828
ПЕТРО КРИВОНІС,300,30.5447604,50.3540573
ПЕЧАТКИНО,301,40.1431648,59.507535
ПОДІЛЬСЬК,302,29.5286062,47.7500196
ПОКРОВСЬК,303,37.179778,48.2850109
ПОЛОГИ,304,36.2589167,47.4762993
ПОЛОННЕ,305,27.4881715,50.1396161
ПОЛТАВА-КИЇВСЬКА,306,34.5254901,49.6035227
ПОЛТАВА-ПІВДЕННА,307,34.5951581,49.5820003
ПОМІЧНА,308,31.4082309,48.2411528
ПОПАСНА,309,38.3793501,48.6302927
ПОРОМНА,310,30.6563749,46.3968899
ПОРТ-ВЕЛИКЕ ЗАПОРІЖЖЯ,311,35.1167612,47.8757779
ПОЧАЙНА,312,30.5015646,50.4846097
ПРАВДА,313,34.6604119,48.5172104
ПРИБУЗЬКА,314,32.038174,46.8617002
ПРИДАЧА,315,39.2588845,51.6401475
ПРИДОНЕЦЬКА,316,37.7037178,48.8965011
ПРИДОНСКАЯ,317,39.5612457,51.0373104
ПРИШИБ,318,35.3255762,47.2587749
РІВНЕ,319,26.2395398,50.6276635
РАДЕНСЬКЕ,320,32.9432851,46.5650541
РАДЕХІВ,321,24.6253095,50.2842251
РАДИВИЛІВ,322,25.2609255,50.1190162
РАДУШНА,323,33.5108646,47.8240332
РАЙ,324,37.8608709,50.3852174
РЕЙТАНОВ,325,26.3074295,52.9794756
РЕЧИЦА,326,30.3934602,52.3492366
РЕЧНАЯ,327,94.476579,56.1524465
РЕШЕТНИКОВО,328,36.5669456,56.4494641
РЖЕВУСЬКА,329,29.3024254,49.4928187
РОЖДЕСТВО,330,38.9920161,52.879555
РОЖНЯТІВ,331,24.1598992,49.0002239
РОЗІВКА,332,37.0627795,47.3738638
РОКУВАТА,333,33.4782628,48.0437124
РОСТОВ-ЗАПАДНЫЙ,334,39.6114176,47.248382
РОСТУЩА,335,35.2832882,47.8091114
РОТОК,336,30.1871198,49.779591
РОЯ,337,37.3076222,47.989665
РУБІЖНЕ,338,38.3746813,49.0026841
РУДНИЦЯ,339,28.9344335,48.2605494
РЫЖКОВИЧИ,340,30.2922808,54.1577367
РЯСНА,341,34.5671057,48.1816285
СІЛЬ,342,38.0342144,48.7153712
САГАЙДАК,343,33.9818315,49.7295773
САЛАВАТ,344,55.9152166,53.3604377
САМАРІВКА,345,35.1212045,48.5405085
САПІЖАНКА,346,24.3377328,50.0830893
САРНИ,347,26.6029321,51.3387763
САРТАНА,348,37.5738471,47.1535949
СВАЛЯВА,349,22.9879961,48.5516243
СВАТОВЕ,350,38.1650529,49.4089441
СВЕКЛОВИЧНАЯ,351,35.6877651,50.7819453
СВЕТОГОРСК,352,28.8459234,61.1176937
СЕГЕЖА,353,34.3025866,63.7442644
СЕЛЕЩИНА,354,34.8356067,49.4675617
СИНЕЛЬНИКОВЕ II,355,35.5112994,48.3334677
СИХІВ,356,24.0742252,49.787454
СКАЛА-ПОДІЛЬСЬКА,357,26.2012663,48.8425458
СКАЛАТ,358,25.9684424,49.4190937
СКВИРА,359,29.656485,49.7546598
СКНИЛІВ,360,23.9349374,49.8210482
СКОРОХОДОВЕ,361,35.0728169,49.7795561
СЛОНИМ,362,25.3434634,53.0952174
СМОЛЕВИЧИ,363,28.0568505,54.0195953
СМЫЧКА,364,59.9824558,57.9401492
СНІГУРІВКА,365,32.7803085,47.0652857
СНОВСЬК,366,31.9431418,51.8141363
СОКАЛЬ,367,24.2570874,50.4648285
СОКОРИКИ,368,28.6419594,51.019735
СОЛИКАМСК,369,56.7322241,59.6332742
СОСНІВКА,370,24.2631429,50.2921241
СОФРИНО,371,37.9305753,56.1365062
СТАРОВІРІВКА,372,37.4457704,49.6782373
СТАРОКОСТЯНТИНІВ I,373,27.1653412,49.7528457
СТЕПЯНКА,374,27.6633243,53.9147348
СТОЯНІВ,375,24.6667184,50.3779309
СТРАБИЧОВО,376,22.5660436,48.3876491
СТРИЙ,377,23.8415948,49.2596139
СУМИ,378,34.8085324,50.9271301
СУМИ-ТОВАРНА,379,34.8539056,50.8952061
СУХОЛІСИ,380,30.3675301,49.7383797
ТАВРІЙСЬК,381,35.2780468,47.4396937
ТАЛЬНЕ,382,30.7230192,48.8950816
ТАТЬЯНКА,383,44.614564,48.5196195
ТЕРЕЩЕНСЬКА,384,33.4813767,51.7641833
ТЕРНОВЕ,385,36.3507646,49.8534985
ТЕРНОПІЛЬ,386,25.6008397,49.5538981
ТЕТЕРІВ,387,29.5987946,50.6985355
ТИХОНОВО,388,52.2513946,55.8300083
ТОВСТЕ,389,25.7229416,48.8530876
ТОЛОКОННОЕ,390,36.3581388,50.4495718
ТОЛЬЯТТИ,391,49.2951753,53.5662265
ТОМАШГОРОД,392,27.0688494,51.3016498
ТОРОПИЛІВКА,393,34.6704607,50.9424637
ТРИКРАТНЕ,394,31.3054678,47.7053549
ТРОСТЯНЕЦЬ-СМОРОДИНЕ,395,34.9685143,50.4819089
ТРОЯНИ,396,36.6146044,46.8787865
УГЛЕУРАЛЬСКАЯ,397,57.5379569,58.952247
УЖГОРОД,398,22.3010574,48.6094045
УМАНЬ,399,30.2043543,48.7327808
УРТААУЛ,400,69.1402374,41.1897288
УСТИНІВКА,401,30.0418189,49.9500444
ФЕДОРІВКА,402,35.3145314,47.0800407
ФЛЮСОВАЯ,403,60.0536659,55.0577191
ФУНДУКЛІЇВКА,404,32.2505219,48.9744991
ХАЙЧНОРИН,405,28.5857805,51.2896884
ХАРКІВ-ПАСАЖИРСЬКИЙ,406,36.2036094,49.9895296
ХАРКІВ-СОРТУВАЛЬНИЙ,407,36.1844877,50.0256129
ХЕРСОН,408,32.6046582,46.6565943
ХЕРСОН-ПОРТ,409,32.6059305,46.6265094
ХЛІБОДАРІВКА,410,37.4105964,47.4865084
ХМІЛЬНИК,411,27.9844926,49.5591468
ХМЕЛЬНИЦЬКИЙ,412,27.0096156,49.416223
ХОДОРІВ,413,24.3090326,49.4007798
ХОРОСТКІВ,414,25.9091413,49.1955336
ХОРТИЦЯ,415,34.9986144,47.880574
ХРИПЛИН,416,24.7417597,48.8912381
ХРИСТИНІВКА,417,29.972563,48.8152213
ЦВІТКОВЕ,418,31.5292404,49.1537441
ЧАСІВ ЯР,419,37.8226169,48.5937459
ЧЕБАРКУЛЬ,420,60.3618555,54.9845731
ЧЕЛЮСКІН,421,36.1326789,47.4937658
ЧЕЛЯБИНСК-ЮЖНЫЙ,422,61.552489,55.0928545
ЧЕРВОНОГРАД,423,24.2291158,50.3968986
ЧЕРКАСИ,424,32.0502685,49.4259386
